name,goal,assist,cs,npxg,g,bcc,xa,bc,total_minn,total_goly,total_pen,total_pas,total_zhelt,total_kras
Gary Cahill,0.01,0.01,0.03,0.01,0,0,0.08,0,,,,,,
Jake Cain,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
Tom Cairney,0.00,0.00,0.00,0.2,0,0,0.11,0,,,,,,
Dominic Calvert-Lewin,0.28,0.09,0.25,1.49,0,0,0.31,3,,,,,,
Leonardo Campana,0.03,0.02,0.02,None,None,None,None,None,,,,,,
Chem Campbell,None,None,None,None,None,None,None,None,,,,,,
Elia Caprile,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Carlos Vinicius,0.03,0.02,0.01,None,None,None,None,None,,,,,,
Guido Carrillo,None,None,None,None,None,None,None,None,,,,,,
Andy Carroll,0.03,0.02,0.02,0.19,1,0,0.07,0,,,,,,
Scott Carson,None,None,None,0.0,0,0,0.0,0,,,,,,
Cameron Carter-Vickers,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Fabio Carvalho,0.12,0.20,0.25,None,None,None,None,None,,,,,,
Oliver Casey,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
Matthew Cash,0.03,0.08,0.14,0.19,0,1,0.67,0,,,,,,
Lewis Cass,None,None,None,None,None,None,None,None,,,,,,
Timothy Castagne,0.00,0.00,0.00,0.01,0,0,0.08,0,,,,,,
Edinson Cavani,0.17,0.08,0.09,1.18,0,1,0.49,3,,,,,,
Dani Ceballos,0.02,0.09,0.15,0.04,0,1,0.66,0,,,,,,
Cédric Soares,0.04,0.06,0.14,None,None,None,None,None,,,,,,
Calum Chambers,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Kgaogelo Chauke,None,None,None,0.0,0,0,0.0,0,,,,,,
James Chester,None,None,None,None,None,None,None,None,,,,,,
Ben Chilwell,0.00,0.00,0.00,0.04,0,1,0.55,0,,,,,,
Tahith Chong,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Hamza Choudhury,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
Andreas Christensen,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
Cyrus Christie,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Dennis Cirkin,None,None,None,None,None,None,None,None,,,,,,
Ciaran Clark,0.06,0.03,0.24,0.63,1,0,0.14,1,,,,,,
Matthew Clarke,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Jake Clarke-Salter,None,None,None,None,None,None,None,None,,,,,,
Leighton Clarkson,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Thomas Clayton,None,None,None,None,None,None,None,None,,,,,,
Nathaniel Clyne,0.01,0.02,0.05,0.0,0,0,0.0,0,,,,,,
Conor Coady,0.01,0.01,0.30,0.01,0,0,0.05,0,,,,,,
Alex Cochrane,None,None,None,None,None,None,None,None,,,,,,
Séamus Coleman,0.02,0.03,0.12,0.17,0,0,0.08,0,,,,,,
Aaron Connolly,0.00,0.00,0.00,1.12,1,0,0.22,2,,,,,,
Liam Cooper,0.00,0.00,0.00,0.33,1,0,0.09,0,,,,,,
Theo Corbeanu,None,None,None,0.0,0,0,0.0,0,,,,,,
Jack Cork,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Ben Cottrell,None,None,None,None,None,None,None,None,,,,,,
Vladimir Coufal,0.00,0.00,0.00,0.04,0,1,0.73,0,,,,,,
Ismaila Coulibaly,None,None,None,None,None,None,None,None,,,,,,
Conor Coventry,None,None,None,None,None,None,None,None,,,,,,
Charlie Cresswell,0.00,0.00,0.00,0.19,0,1,0.65,0,,,,,,
Josh Cullen,None,None,None,None,None,None,None,None,,,,,,
Jamie Cumming,None,None,None,None,None,None,None,None,,,,,,
Luke Cundle,None,None,None,0.0,0,0,0.0,0,,,,,,
Vontae Daley-Campbell,None,None,None,None,None,None,None,None,,,,,,
Stuart Dallas,0.00,0.00,0.00,0.76,2,0,0.33,1,,,,,,
Daniel Podence,0.00,0.00,0.00,0.8,1,0,0.46,0,,,,,,
Scott Dann,0.08,0.04,0.02,0.05,0,0,0.05,0,,,,,,
Kevin Danso,None,None,None,None,None,None,None,None,,,,,,
Karl Darlow,0.00,0.00,0.26,0.0,0,0,0.0,0,,,,,,
David Luiz,0.04,0.06,0.14,None,None,None,None,None,,,,,,
Tom Davies,0.01,0.05,0.09,0.0,0,0,0.03,0,,,,,,
Keinan Davis,0.05,0.03,0.01,0.09,0,0,0.1,0,,,,,,
Craig Dawson,0.00,0.00,0.00,0.01,0,0,0.01,0,,,,,,
Laurens De Bock,None,None,None,None,None,None,None,None,,,,,,
Kevin De Bruyne,0.46,0.59,0.49,None,None,None,None,None,,,,,,
Bobby De Cordova-Reid,0.00,0.00,0.00,None,None,None,None,None,,,,,,
David de Gea,0.00,0.01,0.42,None,None,None,None,None,,,,,,
Luca de la Torre,0.03,0.01,0.01,None,None,None,None,None,,,,,,
Liam Delap,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
Fabian Delph,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Lars Dendoncker,0.05,0.03,0.14,0.61,0,0,0.12,1,,,,,,
Alfie Devine,None,None,None,None,None,None,None,None,,,,,,
Kiernan Dewsbury-Hall,None,None,None,None,None,None,None,None,,,,,,
Fousseni Diabaté,None,None,None,None,None,None,None,None,,,,,,
Cheikh Diaby,None,None,None,0.0,0,0,0.0,0,,,,,,
Ibrahima Diallo,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
Grady Diangana,0.00,0.00,0.00,0.46,0,0,0.06,1,,,,,,
Eric Dier,0.07,0.05,0.25,0.63,0,0,0.1,1,,,,,,
Lucas Digne,0.02,0.11,0.17,None,None,None,None,None,,,,,,
Diogo Dalot,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Diogo Jota,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Alpha Richard Dionkou,None,None,None,None,None,None,None,None,,,,,,
Issa Diop,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
Elijah Dixon-Bonner,None,None,None,None,None,None,None,None,,,,,,
Moussa Djenepo,0.00,0.00,0.00,0.04,0,0,0.07,0,,,,,,
Matt Doherty,0.02,0.04,0.07,0.01,0,0,0.04,0,,,,,,
Abdoulaye Doucouré,0.06,0.07,0.24,0.05,0,0,0.08,0,,,,,,
Barry Douglas,0.04,0.06,0.14,None,None,None,None,None,,,,,,
Douglas Luiz,0.04,0.06,0.14,None,None,None,None,None,,,,,,
Kieran Dowell,None,None,None,None,None,None,None,None,,,,,,
Tommy Doyle,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Danny Drinkwater,None,None,None,None,None,None,None,None,,,,,,
Anthony Driscoll-Glennon,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Martin Dubravka,0.00,0.00,0.10,0.0,0,0,0.0,0,,,,,,
Shane Duffy,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Paul Dummett,0.00,0.01,0.04,0.0,0,0,0.0,0,,,,,,
Lewis Dunk,0.05,0.02,0.04,1.47,2,0,0.36,2,,,,,,
Jimmy Dunne,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
Jake Eastwood,None,None,None,None,None,None,None,None,,,,,,
Ederson,0.00,0.01,0.25,0.0,0,0,0.0,0,,,,,,
Ryan Edmondson,None,None,None,None,None,None,None,None,,,,,,
Kyle Edwards,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
John Egan,0.06,0.03,0.35,0.03,0,0,0.04,0,,,,,,
Ovie Ejaria,None,None,None,None,None,None,None,None,,,,,,
Anwar El Ghazi,0.02,0.01,0.00,None,None,None,None,None,,,,,,
Anthony Elanga,None,None,None,None,None,None,None,None,,,,,,
Harvey Elliott,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Emerson,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
Ulrick Eneme Ella,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Björn Engels,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
Jonny Evans,0.00,0.00,0.00,0.01,0,0,0.11,0,,,,,,
Eberechi Eze,0.08,0.12,0.12,0.62,1,0,0.41,0,,,,,,
Lukasz Fabianski,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
Fabinho,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
Fábio Silva,0.15,0.08,0.27,None,None,None,None,None,,,,,,
Fabri,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Malachi Fagan-Walcott,None,None,None,None,None,None,None,None,,,,,,
Felipe Anderson,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
Josh Felix-Eppiah,None,None,None,None,None,None,None,None,,,,,,
